"Чек-лист и результаты выполнения тестов: тестирование вёрстки для тарифа ""повседневный""",,,,
,,,,
№,Описание,Статус Окружение 1 (Firefox 1920x1080),Статус Окружение 2 (ya.browser 800x600),Ссылка на баг-репорт
,Проверка отображения элементов формы бронирования,,,
1,"Стартовое состояние формы бронирования - выбран тариф Повседневный, поля «Добавить права» и «Способ оплаты» пустые",PASSED,PASSED,
2,"Для выбора доступно три тарифа: Повседневный, Походный, Роскошный",PASSED,PASSED,
3,В блоке с деталями маршрута рядом с информацией о времени в пути до машины отображается иконка идущего человека,FAILED,FAILED,https://tracker.yandex.ru/BUG-969675
4,"Отображение ближайших машин на карте: на карте иконка ближайшей машины увеличивается, над ней появляется чёрная плашка с маркой машины.",FAILED,FAILED,https://tracker.yandex.ru/BUG-969992
5,"Линии элементов формы при бронировании каршеринга не обрезаны, все линии выровнены по одному краю",PASSED,PASSED,
6,"Иконка со стрелкой влево изображена в сером круге, а сама стрелка белая и выглядит как ""<""",FAILED,FAILED,https://tracker.yandex.ru/BUG-972047
7,"Рисунок автомобиля в блоке информации о тарифе ""Повседневный"" детальная, двери машины отрисованы",FAILED,FAILED,https://tracker.yandex.ru/BUG-974347
8,"Если права прошли верификацию, рамка поля подсвечивается зелёным, у правого края внутри поля появляется зелёная галочка",FAILED,FAILED,https://tracker.yandex.ru/BUG-974751
9,"Если права прошли не прошли верификацию, рамка поля подсвечивается красным, у правого края внутри поля появляется красный крестик.",SKIPPED,SKIPPED,
10,"Если пользователь корректно заполнил все поля и нажал кнопку «Забронировать», появится окно с заголовком «Машина забронирована» ",PASSED,PASSED,
11,"Окно ""машина забронирована"": Иконка машины отображается",PASSED,PASSED,
12,"Окно ""машина забронирована"": Иконка машины детальная, двери машины отрисованы",FAILED,FAILED,https://tracker.yandex.ru/BUG-975485
13,"Окно ""машина забронирована"": Текст внутри  формы выровнен и не выходят за края.",PASSED,FAILED,https://tracker.yandex.ru/BUG-975507
14,"Окно ""машина забронирована"": Внутри окна отсутствуют лишние элементы.",PASSED,FAILED,https://tracker.yandex.ru/BUG-975534
15,"Окно ""машина забронирована"" При нажатии кнопки ""отменить"" появляется окно «Вы уверены, что хотите отменить заказ?» ",BLOCKED,BLOCKED,https://tracker.yandex.ru/BUG-975621
16,"Окно ""вы уверены, что хотите отменить заказ"": при нажатии кнопки ""отменить"" окно закроется",BLOCKED,BLOCKED,
17,"Окно ""вы уверены, что хотите отменить заказ"": при нажатии кнопки ""да""  появится окно ""поездка отменена""",BLOCKED,BLOCKED,
18,"В поле ""добавить права"" в углу поля справа отображается стрелка >",FAILED,FAILED,https://tracker.yandex.ru/BUG-984955
19,На карте отображаются автомобили всех тарифов,FAILED,FAILED,https://tracker.yandex.ru/BUG-986071
20,"При ручном выборе иконки машины на карте,она увеличивается, над ней появляется чёрная плашка с маркой",FAILED,FAILED,https://tracker.yandex.ru/BUG-985993
21,При ручном выборе иконки машины на картена панели слева обновилась информация о машине,FAILED,FAILED,https://tracker.yandex.ru/BUG-986021
,Тестирование полосы прокрутки,,,
22,"Полосы прокрутки нет, если весть контент помещается на одной странице",PASSED,PASSED,
23,"Можно двигаться по полосе прокуртки мышью, кнопками pageup pagedown, home и end",PASSED,PASSED,
,Проверка расположения элементов формы бронирования,,,
24,"Расположение кнопки ""забронировать"" в форме бронирования каршеринга ""повседневный"": края кнопки не обрезаны, кнопка  полностью видна.",PASSED,PASSED,
25,Иконка со стрелко слева расположена в верхне левом крае формы бронирования над тарифом повседневный,PASSED,PASSED,
26,Под выбранном тарифом расположен блок с деталями тарифа и информацией о ближайшей машине,PASSED,PASSED,
27,"Кнопка ""забронировать"" закреплена в левом нижнем углу экрана.",PASSED,PASSED,
28,"Если пользователь корректно заполнил все поля и нажал кнопку «Забронировать»,окно с заголовком «Машина забронирована» появится  в центре экрана. ",FAILED,PASSED,https://tracker.yandex.ru/BUG-975414
29,"Окно ""вы уверены, что хотите отменить поездку"": отображается по центру экрана",BLOCKED,BLOCKED,https://tracker.yandex.ru/BUG-975621
30,Окно поездка отменена: отображается по центру экрана,BLOCKED,BLOCKED,
,Проверка отображения иконок доступных машин на карте,,,
31,Иконки доступных авто для бронирования отображаются на автомобильных дорогах.,FAILED,FAILED,https://tracker.yandex.ru/BUG-974238
32,,,,
33,На карте отображаются иконки доступных машин,PASSED,PASSED,
34,Проверка внешнего вида иконок доступных машин на карте,FAILED,PASSED,https://tracker.yandex.ru/BUG-974268
35,Блок формы бронирования: иконки доступных машин на карте отображаются в соответсвии с направлением движения машины.,FAILED,FAILED,https://tracker.yandex.ru/BUG-974307
,Проверка размера отображаемых элементов,,,
36,"Размер кнопки ""забронировать"" составляет 366x60px",PASSED,PASSED,
37,Размер иконки со стрелкой влево составляет 18x18рх,FAILED,FAILED,https://tracker.yandex.ru/BUG-974372
38,"Окно ""машина забронирована"":Размер окна бронирования ""машина забронирована"" составляет  390x499",FAILED,FAILED,https://tracker.yandex.ru/BUG-975440
